INFO 2026-02-06 09:44:28,371 autoreload 5970 130588273750144 Watching for file changes with StatReloader
INFO 2026-02-08 15:16:19,708 basehttp 30050 131420375725760 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2026-02-08 15:16:19,713 basehttp 30050 131420026566336 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2026-02-08 15:16:19,726 basehttp 30050 131420384118464 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-08 15:16:19,728 basehttp 30050 131420375725760 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2026-02-08 15:16:24,195 middleware 30050 131420375725760 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-08 15:16:24,934 middleware 30050 131420375725760 Response: POST /admin/login/ [302] - 0.738s
INFO 2026-02-08 15:16:24,947 basehttp 30050 131420375725760 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-02-08 15:16:24,954 middleware 30050 131420375725760 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-08 15:16:24,996 middleware 30050 131420375725760 Response: GET /admin/ [200] - 0.042s
INFO 2026-02-08 15:16:24,997 basehttp 30050 131420375725760 "GET /admin/ HTTP/1.1" 200 5172
INFO 2026-02-08 15:16:25,104 basehttp 30050 131420375725760 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-02-08 15:16:25,144 basehttp 30050 131420375725760 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2026-02-08 15:16:25,144 basehttp 30050 131420384118464 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2026-02-08 15:18:33,616 autoreload 30050 131420496556160 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:18:34,770 autoreload 31506 123626855362688 Watching for file changes with StatReloader
INFO 2026-02-08 15:18:38,856 autoreload 31506 123626855362688 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:18:39,838 autoreload 31573 132278938521728 Watching for file changes with StatReloader
INFO 2026-02-08 15:18:42,844 autoreload 31573 132278938521728 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:18:43,627 autoreload 31629 131346531836032 Watching for file changes with StatReloader
INFO 2026-02-08 15:18:53,796 autoreload 31629 131346531836032 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:18:54,645 autoreload 31755 129722115051648 Watching for file changes with StatReloader
INFO 2026-02-08 15:19:01,582 autoreload 31834 128909053796480 Watching for file changes with StatReloader
INFO 2026-02-08 15:19:06,524 autoreload 31834 128909053796480 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:19:07,531 autoreload 31913 136622259372160 Watching for file changes with StatReloader
INFO 2026-02-08 15:19:10,513 autoreload 31913 136622259372160 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:19:11,307 autoreload 31962 134537791266944 Watching for file changes with StatReloader
INFO 2026-02-08 15:19:17,322 autoreload 31962 134537791266944 /home/salman/FYP/Backend/ace_backend/config/settings/base.py changed, reloading.
INFO 2026-02-08 15:19:24,108 autoreload 32125 128137498894464 Watching for file changes with StatReloader
INFO 2026-02-08 15:20:33,332 autoreload 32125 128137498894464 /home/salman/FYP/Backend/ace_backend/config/settings/development.py changed, reloading.
INFO 2026-02-08 15:21:03,693 autoreload 33065 127471455228032 Watching for file changes with StatReloader
INFO 2026-02-08 15:21:07,699 autoreload 33065 127471455228032 /home/salman/FYP/Backend/ace_backend/config/settings/development.py changed, reloading.
INFO 2026-02-08 15:21:08,437 autoreload 33124 132793329406080 Watching for file changes with StatReloader
INFO 2026-02-08 15:21:12,362 autoreload 33124 132793329406080 /home/salman/FYP/Backend/ace_backend/config/settings/development.py changed, reloading.
INFO 2026-02-08 15:21:13,178 autoreload 33187 128717440802944 Watching for file changes with StatReloader
INFO 2026-02-08 15:22:16,493 middleware 33187 128717346039488 Request: GET /admin/ from 127.0.0.1
ERROR 2026-02-08 15:22:16,521 basehttp 33187 128717346039488 "GET /admin/ HTTP/1.1" 500 59
INFO 2026-02-08 15:22:25,611 autoreload 33187 128717440802944 /home/salman/FYP/Backend/ace_backend/config/settings/development.py changed, reloading.
INFO 2026-02-08 15:23:55,528 middleware 35592 136484857308864 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-08 15:23:55,591 middleware 35592 136484857308864 Response: GET /admin/ [200] - 0.063s
INFO 2026-02-08 15:24:10,330 middleware 35592 136484857308864 Request: GET /admin/ from 127.0.0.1
ERROR 2026-02-08 15:24:10,350 basehttp 35592 136484857308864 "GET /admin/ HTTP/1.1" 500 59
INFO 2026-02-08 15:24:18,803 middleware 35592 136484857308864 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-08 15:24:18,846 middleware 35592 136484857308864 Response: GET /admin/ [200] - 0.043s
INFO 2026-02-08 15:24:20,817 middleware 35592 136484857308864 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-08 15:24:20,852 middleware 35592 136484857308864 Response: GET /admin/ [200] - 0.035s
INFO 2026-02-12 07:14:20,816 autoreload 11674 133484074299520 Watching for file changes with StatReloader
INFO 2026-02-12 07:14:31,582 middleware 11674 133483979597504 Request: GET /account/users/logout from 127.0.0.1
INFO 2026-02-12 07:14:31,621 middleware 11674 133483979597504 Response: GET /account/users/logout [404] - 0.040s
WARNING 2026-02-12 07:14:31,622 log 11674 133483979597504 Not Found: /account/users/logout
WARNING 2026-02-12 07:14:31,623 basehttp 11674 133483979597504 "GET /account/users/logout?Authorization=Bearer%20c1a173d307f4991373f9b38cf12276792d15d452 HTTP/1.1" 404 3805
INFO 2026-02-12 07:14:31,839 middleware 11674 133483979597504 Request: GET /favicon.ico from 127.0.0.1
INFO 2026-02-12 07:14:31,864 middleware 11674 133483979597504 Response: GET /favicon.ico [404] - 0.025s
WARNING 2026-02-12 07:14:31,865 log 11674 133483979597504 Not Found: /favicon.ico
WARNING 2026-02-12 07:14:31,866 basehttp 11674 133483979597504 "GET /favicon.ico HTTP/1.1" 404 3714
INFO 2026-02-12 07:14:37,596 middleware 11674 133483979597504 Request: GET / from 127.0.0.1
INFO 2026-02-12 07:14:37,641 middleware 11674 133483979597504 Response: GET / [404] - 0.045s
WARNING 2026-02-12 07:14:37,642 log 11674 133483979597504 Not Found: /
WARNING 2026-02-12 07:14:37,646 basehttp 11674 133483979597504 "GET / HTTP/1.1" 404 3663
INFO 2026-02-12 07:14:45,248 middleware 11674 133483979597504 Request: GET /admin from 127.0.0.1
INFO 2026-02-12 07:14:45,274 middleware 11674 133483979597504 Response: GET /admin [404] - 0.026s
INFO 2026-02-12 07:14:45,275 basehttp 11674 133483979597504 "GET /admin HTTP/1.1" 301 0
INFO 2026-02-12 07:14:45,283 middleware 11674 133483971204800 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-12 07:14:45,297 middleware 11674 133483971204800 Response: GET /admin/ [302] - 0.014s
INFO 2026-02-12 07:14:45,299 basehttp 11674 133483971204800 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-12 07:14:45,307 middleware 11674 133483971204800 Request: GET /admin/login/ from 127.0.0.1
INFO 2026-02-12 07:14:45,352 middleware 11674 133483971204800 Response: GET /admin/login/ [200] - 0.046s
INFO 2026-02-12 07:14:45,354 basehttp 11674 133483971204800 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2026-02-12 07:14:45,479 basehttp 11674 133483971204800 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2026-02-12 07:14:45,491 basehttp 11674 133483979597504 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2026-02-12 07:14:45,506 basehttp 11674 133483758352064 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-12 07:14:45,507 basehttp 11674 133483971204800 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2026-02-12 07:14:45,508 basehttp 11674 133483733173952 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-12 07:14:45,508 basehttp 11674 133483749959360 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2026-02-12 07:14:45,509 basehttp 11674 133483741566656 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2026-02-12 07:14:56,106 middleware 11674 133483971204800 Request: POST /admin/login/ from 127.0.0.1
ERROR 2026-02-12 07:14:56,142 basehttp 11674 133483971204800 "POST /admin/login/?next=/admin/ HTTP/1.1" 500 59
INFO 2026-02-12 07:15:00,976 middleware 11674 133483971204800 Request: GET /admin/login/ from 127.0.0.1
INFO 2026-02-12 07:15:00,985 middleware 11674 133483971204800 Response: GET /admin/login/ [200] - 0.009s
INFO 2026-02-12 07:15:00,986 basehttp 11674 133483971204800 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
INFO 2026-02-12 07:25:23,502 middleware 12820 131473523861184 Request: GET / from 127.0.0.1
INFO 2026-02-12 07:25:23,528 middleware 12820 131473523861184 Response: GET / [404] - 0.026s
WARNING 2026-02-12 07:25:23,529 log 12820 131473523861184 Not Found: /
WARNING 2026-02-12 07:25:23,531 basehttp 12820 131473523861184 "GET / HTTP/1.1" 404 3663
INFO 2026-02-12 07:25:26,493 middleware 12820 131473523861184 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-12 07:25:26,511 middleware 12820 131473523861184 Response: GET /admin/ [302] - 0.018s
INFO 2026-02-12 07:25:26,522 middleware 12820 131473523861184 Request: GET /admin/login/ from 127.0.0.1
INFO 2026-02-12 07:25:26,563 middleware 12820 131473523861184 Response: GET /admin/login/ [200] - 0.041s
INFO 2026-02-12 07:25:37,216 middleware 12820 131473523861184 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-12 07:25:37,931 middleware 12820 131473523861184 Response: POST /admin/login/ [200] - 0.715s
INFO 2026-02-12 07:25:48,120 middleware 12820 131473523861184 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-12 07:25:48,860 middleware 12820 131473523861184 Response: POST /admin/login/ [200] - 0.741s
INFO 2026-02-12 07:32:20,520 middleware 13565 124721622415040 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-12 07:32:21,265 middleware 13565 124721622415040 Response: POST /admin/login/ [302] - 0.745s
INFO 2026-02-12 07:32:21,279 middleware 13565 124721622415040 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-12 07:32:21,346 middleware 13565 124721622415040 Response: GET /admin/ [200] - 0.066s
INFO 2026-02-12 07:32:26,737 middleware 13565 124721622415040 Request: GET /admin/auth/group/ from 127.0.0.1
INFO 2026-02-12 07:32:26,786 middleware 13565 124721622415040 Response: GET /admin/auth/group/ [200] - 0.049s
INFO 2026-02-12 07:32:26,870 middleware 13565 124721614022336 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:32:26,922 middleware 13565 124721614022336 Response: GET /admin/jsi18n/ [200] - 0.052s
INFO 2026-02-12 07:32:28,325 middleware 13565 124721605629632 Request: GET /admin/auth/group/ from 127.0.0.1
INFO 2026-02-12 07:32:28,370 middleware 13565 124721605629632 Response: GET /admin/auth/group/ [200] - 0.045s
INFO 2026-02-12 07:32:28,435 middleware 13565 124721605629632 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:32:28,461 middleware 13565 124721605629632 Response: GET /admin/jsi18n/ [200] - 0.025s
INFO 2026-02-12 07:44:53,330 middleware 14491 127548416583360 Request: GET /admin/auth/group/ from 127.0.0.1
WARNING 2026-02-12 07:44:53,348 base 14491 127548416583360 Session data corrupted
INFO 2026-02-12 07:44:53,356 middleware 14491 127548416583360 Response: GET /admin/auth/group/ [302] - 0.026s
INFO 2026-02-12 07:44:53,363 middleware 14491 127548416583360 Request: GET /admin/login/ from 127.0.0.1
WARNING 2026-02-12 07:44:53,385 base 14491 127548416583360 Session data corrupted
INFO 2026-02-12 07:44:53,422 middleware 14491 127548416583360 Response: GET /admin/login/ [200] - 0.060s
INFO 2026-02-12 07:45:00,099 middleware 14491 127548416583360 Request: POST /admin/login/ from 127.0.0.1
WARNING 2026-02-12 07:45:00,118 base 14491 127548416583360 Session data corrupted
INFO 2026-02-12 07:45:00,829 middleware 14491 127548416583360 Response: POST /admin/login/ [302] - 0.730s
INFO 2026-02-12 07:45:00,844 middleware 14491 127548416583360 Request: GET /admin/auth/group/ from 127.0.0.1
INFO 2026-02-12 07:45:00,904 middleware 14491 127548416583360 Response: GET /admin/auth/group/ [200] - 0.060s
INFO 2026-02-12 07:45:01,045 middleware 14491 127548416583360 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:45:01,084 middleware 14491 127548416583360 Response: GET /admin/jsi18n/ [200] - 0.039s
INFO 2026-02-12 07:45:04,853 middleware 14491 127548416583360 Request: GET /admin/authentication/user/ from 127.0.0.1
INFO 2026-02-12 07:45:04,899 middleware 14491 127548416583360 Response: GET /admin/authentication/user/ [200] - 0.046s
INFO 2026-02-12 07:45:04,943 middleware 14491 127548416583360 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:45:04,974 middleware 14491 127548416583360 Response: GET /admin/jsi18n/ [200] - 0.031s
INFO 2026-02-12 07:45:10,903 middleware 14491 127548416583360 Request: GET /admin/authentication/user/1/change/ from 127.0.0.1
INFO 2026-02-12 07:45:11,035 middleware 14491 127548416583360 Response: GET /admin/authentication/user/1/change/ [200] - 0.132s
INFO 2026-02-12 07:45:11,132 middleware 14491 127548408190656 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:45:11,187 middleware 14491 127548408190656 Response: GET /admin/jsi18n/ [200] - 0.054s
